Artist Name,Song Name,Total Streams,Tweets,TikTok Followers
Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,883369738,7.768 Tweets,14.8M
Juice WRLD ,Lucid Dreams,864832399,"16,1 mil Tweets",0
Lil Uzi Vert ,XO TOUR Llif3,781153024,264 Tweets,2.2M
J. Cole ,No Role Modelz,734857487,2.873 Tweets,191K
Travis Scott ,goosebumps,672972704,1.235 Tweets,0
The Weeknd ,Blinding Lights,644287953,5.228 Tweets,7.4M
XXXTENTACION ,Jocelyn Flores,624457164,0,0
Kendrick Lamar ,HUMBLE.,606305588,4.135 Tweets,0
Lil Baby ,Drip Too Hard (Lil Baby & Gunna),583443174,1.540 Tweets,4.2M
Glass Animals ,Heat Waves,540754791,0,531.6K
Drake ,God's Plan,534994242,173 Tweets,467.6K
Roddy Ricch ,The Box,504210201,2.924 Tweets,0
Olivia Rodrigo ,good 4 u,454100610,841 Tweets,15.5M
Billie Eilish ,lovely,437911914,"14,6 mil Tweets",47.5M
Joji ,SLOW DANCING IN THE DARK,437333177,255 Tweets,1.2M
Offset ,Ric Flair Drip (& Metro Boomin),427614856,"18,2 mil Tweets",1.6M
The Kid LAROI ,Stay,426712325,1.855 Tweets,3.6M
Lewis Capaldi ,Someone You Loved,410725370,5.295 Tweets,7.6M
Harry Styles ,Watermelon Sugar,409073262,5.700 Tweets,0
Khalid ,Location,403645089,81 Tweets,3.6M
The Neighbourhood ,Sweater Weather,400804036,6.980 Tweets,0
The Chainsmokers ,Closer,397735618,1.446 Tweets,2.7M
Dua Lipa ,Levitating,387860108,1.813 Tweets,9M
Morgan Wallen ,Whiskey Glasses,385368118,6.400 Tweets,4.3M
Doja Cat ,Kiss Me More,376965422,9.783 Tweets,0
DaBaby ,ROCKSTAR,373388283,0,8.3M
Lil Nas X ,INDUSTRY BABY,373383279,"12,9 mil Tweets",29.3M
Childish Gambino ,Redbone,363834232,20 Tweets,0
Lil Mosey ,Blueberry Faygo,355016723,283 Tweets,3.9M
Meek Mill ,Going Bad,349994217,0,568.3K
Ed Sheeran ,Shape of You,348283656,0,13.8M
Ariana Grande ,7 rings,332694161,22 mil Tweets,0
Cardi B ,I Like It,329059657,0,22M
Lizzo ,Truth Hurts,321459791,0,26.9M
Halsey ,Without Me,320826979,7.413 Tweets,0
Logic ,18002738255,320245347,1.220 Tweets,0
Bebe Rexha ,Meant to Be,318478528,"11,7 mil Tweets",0
BlocBoy JB ,Look Alive,316629241,0,0
Marshmello ,Happier,316018345,9.768 Tweets,0
James Arthur ,Say You Won't Let Go,315132103,0,0
Arizona Zervas ,ROXANNE,314843202,1.436 Tweets,0
24kGoldn ,Mood,314504480,4.170 Tweets,0
blackbear ,hot girl bummer,312411378,2.883 Tweets,0
Mariah Carey ,All I Want for Christmas Is You,312323662,"47,6 mil Tweets",0
benny blanco ,Eastside,308890413,"11,5 mil Tweets",0
Future ,Life Is Good,305783118,"53,6 mil Tweets",0
YNW Melly ,Murder On My Mind,305306060,1.541 Tweets,0
Polo G ,RAPSTAR,299470033,0,4.4M
Luke Combs ,Beautiful Crazy,298483119,0,0
21 Savage ,Bank Account,298320136,"13,3 mil Tweets",0
